Date,Opnindex,Clsindex,Retindex,returns
2022/11/1,2899.499,2969.2,0.026168,2.6168
2022/11/2,2960.647,3003.37,0.011508,1.1508
2022/11/3,2981.204,2997.806,-0.001853,-0.1853
2022/11/4,2996.997,3070.796,0.024348,2.4348
2022/11/7,3062.859,3077.817,0.002286,0.2286
2022/11/8,3077.306,3064.493,-0.004329,-0.4329
2022/11/9,3064.463,3048.168,-0.005327,-0.5327
2022/11/10,3031.692,3036.132,-0.003949,-0.3949
2022/11/11,3099.65,3087.293,0.016851,1.6851
2022/11/14,3100.867,3083.401,-0.001261,-0.1261
2022/11/15,3081.135,3134.078,0.016435,1.6435
2022/11/16,3133.65,3119.98,-0.004498,-0.4498
2022/11/17,3110.965,3115.435,-0.001457,-0.1457
2022/11/18,3116.729,3097.243,-0.005839,-0.5839
2022/11/21,3078.057,3085.044,-0.003939,-0.3939
2022/11/22,3084.233,3088.943,0.001264,0.1264
2022/11/23,3084.74,3096.907,0.002578,0.2578
2022/11/24,3104.096,3089.31,-0.002453,-0.2453
2022/11/25,3085.461,3101.693,0.004008,0.4008
2022/11/28,3055.29,3078.549,-0.007462,-0.7462
2022/11/29,3096.113,3149.748,0.023127,2.3127
2022/11/30,3141.399,3151.335,0.000504,0.0504
2022/12/1,3187.99,3165.471,0.004486,0.4486
2022/12/2,3160.579,3156.144,-0.002946,-0.2946
2022/12/5,3181.916,3211.814,0.017639,1.7639
2022/12/6,3200.275,3212.533,0.000224,0.0224
2022/12/7,3204.935,3199.619,-0.00402,-0.402
2022/12/8,3196.016,3197.35,-0.000709,-0.0709
2022/12/9,3197.118,3206.95,0.003002,0.3002
2022/12/12,3195.868,3179.042,-0.008702,-0.8702
2022/12/13,3179.435,3176.326,-0.000854,-0.0854
2022/12/14,3178.554,3176.525,0.000063,0.0063
2022/12/15,3177.2,3168.648,-0.00248,-0.248
2022/12/16,3156.135,3167.858,-0.000249,-0.0249
2022/12/19,3165.309,3107.115,-0.019175,-1.9175
2022/12/20,3098.953,3073.766,-0.010733,-1.0733
2022/12/21,3078.331,3068.411,-0.001742,-0.1742
2022/12/22,3085.8,3054.431,-0.004556,-0.4556
2022/12/23,3038.842,3045.866,-0.002804,-0.2804
2022/12/26,3048.196,3065.563,0.006467,0.6467
2022/12/27,3077.747,3095.568,0.009788,0.9788
2022/12/28,3088.617,3087.4,-0.002639,-0.2639
2022/12/29,3076.726,3073.702,-0.004437,-0.4437
2022/12/30,3084.523,3089.258,0.005061,0.5061
2023/1/3,3087.513,3116.512,0.008822,0.8822
2023/1/4,3117.571,3123.516,0.002247,0.2247
2023/1/5,3132.761,3155.216,0.010149,1.0149
2023/1/6,3155.075,3157.637,0.000767,0.0767
2023/1/9,3169.374,3176.085,0.005842,0.5842
2023/1/10,3178.022,3169.507,-0.002071,-0.2071
2023/1/11,3172.376,3161.838,-0.00242,-0.242
2023/1/12,3167.273,3163.451,0.00051,0.051
2023/1/13,3170.355,3195.306,0.01007,1.007
2023/1/16,3198.519,3227.592,0.010104,1.0104
